video ID,songs
9X28ckABeXo,"[""https://www.youtube.com/watch?v=JJA6fSQLQms""]"
wEZIfAOXXV0,"[""https://www.youtube.com/watch?v=YkS523hpCiw""]"
2AMxLQe9rlk,"[""https://www.youtube.com/watch?v=GLj4cXFC8Pc""]"
95iiuph8wjQ,"[""https://www.youtube.com/watch?v=4qRZaZHkkC8""]"
d0Mn5xHPBWk,"[""https://www.youtube.com/watch?v=fTFxE32onKs""]"
sPgIVMsZozU,"[""https://www.youtube.com/watch?v=IScIscGB7VY""]"
OOrovYQtFVo,"[""https://www.youtube.com/watch?v=ZqV2h2Nb3To""]"
xK5U8eIeZ68,"[""https://www.youtube.com/watch?v=CIFTPU3Ex2g""]"
CncPjUOWzMM,"[""https://www.youtube.com/watch?v=Fw_-tK0n11Q""]"
Fd8EndMpBuk,"[""https://www.youtube.com/watch?v=1x1wjGKHjBI""]"
ujj7fkaIkSA,"[""https://www.youtube.com/watch?v=9W9AFZkwUPQ""]"
el3WNQHBD5Y,"[""https://www.youtube.com/watch?v=Dx_uaJDMKps""]"
3S36rv6fEIk,"[""https://www.youtube.com/watch?v=rGaQEzD2Z-w""]"
J0hIGOIdefY,"[""https://www.youtube.com/watch?v=-mKPqNgh5LA""]"
RI7m1aQUJuI,"[""https://www.youtube.com/watch?v=Z4mbxaa3XL8""]"
35dmcgU41Vs,"[""https://www.youtube.com/watch?v=50BhOnyQ4C4""]"
Xhnk1YxWYFg,"[""https://www.youtube.com/watch?v=aQUlA8Hcv4s""]"
xwgsxvIK8aI,"[""https://www.youtube.com/watch?v=g55t72UeyJU""]"
Cn25ret3Ed4,"[""https://www.youtube.com/watch?v=kKJu6TcxVgM""]"
1rH_mDi_P3o,"[""https://www.youtube.com/watch?v=LOdC7rsVmQY""]"
IIne-bzLrhY,"[""https://www.youtube.com/watch?v=TIOa6QaKPJU""]"
qknIh-xcv7s,"[""https://www.youtube.com/watch?v=h2fNacQU1jY""]"
OmiIJxd4vCs,"[""TOTAL RURIN - r0Ruri's MEGALOVANIA (Soundcloud)""]"
AIfQQ45N-Tg,"[""https://www.youtube.com/watch?v=8fwDo6gr-cQ""]"
cMNRip75sYk,"[""https://www.youtube.com/watch?v=qU9mHegkTc4"", ""https://www.youtube.com/watch?v=0T9wolelY1Q""]"
3_qqhzABANk,"[""https://www.youtube.com/watch?v=Tz_iUQQ2hI4""]"
cFkeGOecfYU,"[""https://www.youtube.com/watch?v=3RcGCRTD7sA""]"
bME-1mnV4to,"[""https://www.youtube.com/watch?v=yRYFKcMa_Ek""]"
ENaHUQY1Po8,"[""https://www.youtube.com/watch?v=viy7z_yorkc""]"
90tCeVWA9sE,"[""https://www.youtube.com/watch?v=RQmEERvqq70""]"
IM1EXoKIsHw,"[""https://www.youtube.com/watch?v=lYbsa4MRNro""]"
12k9MK4j1kw,"[""https://www.youtube.com/watch?v=kfi789vteNk""]"
dCdMe3TnX-4,"[""https://www.youtube.com/watch?v=4qKJS-8bzoA""]"
xfnwk5v-5Ps,"[""https://www.youtube.com/watch?v=gOS9LZwuSZo""]"
996xw8pA6eQ,"[""https://www.youtube.com/watch?v=QjJ4-Thi0gE""]"
ERG8_5CxujU,"[""https://www.youtube.com/watch?v=VjeoJ6I81vA""]"
UlmJNrHRR0c,"[""https://www.youtube.com/watch?v=xtfXl7TZTac""]"
TWjNZHTIGDk,"[""https://www.youtube.com/watch?v=4u4muFfkbJQ""]"
i0HBTrSdgVA,"[""https://www.youtube.com/watch?v=sXzuVnqLWR0""]"
XYlHj1Fsf-Q,"[""https://www.youtube.com/watch?v=VK7y85uNevg""]"
nAfOSbaxbeI,"[""https://www.youtube.com/watch?v=sC0IWVEq4o0""]"
rQ8wRghoTTA,"[""https://www.youtube.com/watch?v=MpvUoCL001Q""]"
VMQxqtfhjbg,"[""https://www.youtube.com/watch?v=yoYZf-lBF_U"", ""https://www.youtube.com/watch?v=cLi05MF5X7Q""]"
9edisaX6qG0,"[""https://www.youtube.com/watch?v=mtWYEa_2KDc""]"
IH5SqypHYoA,"[""https://www.youtube.com/watch?v=mNVmMPbg5IE""]"
g7sIFOqVc18,"[""https://www.youtube.com/watch?v=4uJp1kKTdXc""]"
rjFx2fvLCCo,"[""https://www.youtube.com/watch?v=G1iWc9jbYlY""]"
0P45d4IfY3g,"[""https://www.youtube.com/watch?v=NS0tx7atv8I""]"
9GX_sq1gWrM,"[""https://www.youtube.com/watch?v=lom6I3EgynY""]"
0L7ELwd0T74,"[""https://www.youtube.com/watch?v=tnJqeVob6mE""]"
6uQG-LG-7S4,"[""https://www.youtube.com/watch?v=p-r_ttiV7i0""]"
8u7wl0bJmVQ,"[""https://www.youtube.com/watch?v=_kb2NB7KJjE""]"
afeI1MfwxIw,"[""https://www.youtube.com/watch?v=3nKD5sPumiA""]"
ZBCyOQdnVXk,"[""https://www.youtube.com/watch?v=5WGbvcRaCsc""]"
5npPRfPhMrA,"[""https://www.youtube.com/watch?v=-c3X91Ld-GU""]"
t5-hwteZ82Q,"[""https://www.youtube.com/watch?v=-cbT3fIC3CM""]"
WqAgYSAT1GQ,"[""https://www.youtube.com/watch?v=D3Lw4eZv-H0""]"
mjPLxZPip3o,"[""https://www.youtube.com/watch?v=v2l7YV4UWGs""]"
-hdD2ok8Z_o,"[""https://www.youtube.com/watch?v=u45rMdLodK4""]"
lg-gJHluqjU,"[""https://www.youtube.com/watch?v=gz_emoeCG2E""]"
mSF1pLeGeHs,"[""https://www.youtube.com/watch?v=v8oqbWrP1QY""]"
NAHk9vyVEAg,"[""https://www.youtube.com/watch?v=5fWTFrn0jBs""]"
VCT3W6aoydE,"[""https://www.youtube.com/watch?v=J1b30QpD-5g""]"
2Yl20u99BkA,"[""https://www.youtube.com/watch?v=fTH71AAxXmM""]"
d_GecW1Lg_E,"[""https://www.youtube.com/watch?v=EErSKhC0CZs""]"
sgg7yp2OXuY,"[""https://www.youtube.com/watch?v=9enlQrg7RlU""]"
i0YwEMa9kb8,"[""https://www.youtube.com/watch?v=4QePrv24TBU""]"
x8_lnJykkHA,"[""https://www.youtube.com/watch?v=Efxo2u2rhdg""]"
hxs_OedsjVk,"[""https://www.youtube.com/watch?v=jJzw1h5CR-I""]"
9QDoLK5SvB0,"[""https://www.youtube.com/watch?v=xeaUF250O_A""]"
XMwBC92wjtA,"[""https://www.youtube.com/watch?v=xlHyvRwO-h8""]"
0Q96zeRviCM,"[""https://www.youtube.com/watch?v=1gW1uHRPChc""]"
Kw3IQs_Vtv4,"[""https://www.youtube.com/watch?v=2ltofrl7IHo""]"
QzHVJin1DvQ,"[""https://www.youtube.com/watch?v=tEMA8GL-ArI""]"
LabSkb4h2MI,"[""https://www.youtube.com/watch?v=oEIln_ABzv8""]"
Fk99VG__wFM,"[""https://www.youtube.com/watch?v=jrkgUcRnXRM""]"
PgRaOu0kQds,"[""https://www.youtube.com/watch?v=2U9bQbRrsV0"", ""https://www.youtube.com/watch?v=B7aElYgAxvM""]"
HstUSM8I_RE,"[""https://www.youtube.com/watch?v=Gpd85y_iTxY""]"
ZU8HvrQnFsk,"[""Unknown songs :(""]"
16t8n6MR05E,"[""https://www.youtube.com/watch?v=_JZom_gVfuw""]"
ju4DXTo0Uw0,"[""https://www.youtube.com/watch?v=scQgHrBll9c""]"
tT5kkgcuSm8,"[""https://www.youtube.com/watch?v=Se1uh3PS78Y""]"
po9ypeTwCq4,"[""https://www.youtube.com/watch?v=zh35v6U8jOM"", ""https://www.youtube.com/watch?v=ftCpT2-PSQM""]"
Zx4JJZVPXPs,"[""https://www.youtube.com/watch?v=OCH6nQYflwY"", ""https://www.youtube.com/watch?v=DhPtRA7zieE""]"
MXRuN7OGhk4,"[""https://www.youtube.com/watch?v=IgQEefhmPXI""]"
nvdZoQgO3DQ,"[""https://www.youtube.com/watch?v=n8-wN0lc5qk""]"
tf_px3tq93M,"[""https://www.youtube.com/watch?v=Ozx2ZiVw6ug""]"
OdVzwOuCaBU,"[""https://www.youtube.com/watch?v=oAyw9pbwhdw"", ""https://www.youtube.com/watch?v=c5MJnR-Hsuc""]"
xmWIxibWK6w,"[""https://www.youtube.com/watch?v=jU1Kl2e08wM""]"
oldb82lfSdk,"[""https://www.youtube.com/watch?v=8vLBlZhEj0Y""]"
fnGlyRa6BYY,"[""https://www.youtube.com/watch?v=F5YzIw3jOqw""]"
UFb1lm0STC4,"[""https://www.youtube.com/watch?v=kA6PnEstyhM"", ""https://www.youtube.com/watch?v=aZ6mEDsx_jo""]"
3LaSSsoO-v4,"[""Unknown songs :(""]"
52bR8cXKk2w,"[""https://www.youtube.com/watch?v=cJvJOsSfVcg""]"
tj5LgzTArxU,"[""https://www.youtube.com/watch?v=DUD9JN6hHqI"", ""https://www.youtube.com/watch?v=zKwEWc58to4""]"
zIzOY79IRWo,"[""https://www.youtube.com/watch?v=3Tv-PfQpC3s""]"
M8qeNPbV0r8,"[""https://www.youtube.com/watch?v=hI8A14Qcv68""]"
c4JuN-8AjrU,"[""https://www.youtube.com/watch?v=i-gA0vcBnPI"", ""https://www.youtube.com/watch?v=rR6lSAfX7ns""]"
R74YIOJ6qdI,"[""https://www.youtube.com/watch?v=2S2NarDiebw"", ""https://www.youtube.com/watch?v=awN9Lwnt7hg""]"
VDMy0ChC50Q,"[""https://www.youtube.com/watch?v=-n4jUdZgFFk""]"
8TsgDtMPJZY,"[""https://www.youtube.com/watch?v=nSLkIXImKl4""]"
K7apjf-mO38,"[""https://www.youtube.com/watch?v=XPcdO9CFhWI"", ""https://www.youtube.com/watch?v=67X6-GWzPUY""]"
ipV7rU0550g,"[""https://www.youtube.com/watch?v=ziKKeZDgGFc"", ""https://www.youtube.com/watch?v=PS27dCUUFlU""]"
8mcjEuEuKT0,"[""https://www.youtube.com/watch?v=il1EVCdOqFA""]"
VPMEij0IzIQ,"[""https://www.youtube.com/watch?v=5kyYkGsZ0lY""]"
AEniwoEwu3s,"[""https://www.youtube.com/watch?v=McVhkDfFD0I""]"
0YEEu6rde3E,"[""https://www.youtube.com/watch?v=ewGqIPsA0ig"", ""https://www.youtube.com/watch?v=-wbDqz1rvI0""]"
XY0Sqrwj0Bc,"[""https://www.youtube.com/watch?v=rGz6ID0DRwU""]"
aWyNJCTlJlU,"[""https://www.youtube.com/watch?v=OWKzRngush4"", ""https://www.youtube.com/watch?v=LtPXHNle2w8"", ""https://www.youtube.com/watch?v=xiVY_yPgvMs""]"
e5OFGDvmoHE,"[""https://www.youtube.com/watch?v=0JM3pC5z-7g""]"
gpbWUKwPwWg,"[""https://www.youtube.com/watch?v=agNy2ibeSoQ""]"
cqqanb7hx4o,"[""https://www.youtube.com/watch?v=pUX1vOjLEE0"", ""https://www.youtube.com/watch?v=pTCp0kJYF30""]"
ku5yDowtIXw,"[""https://www.youtube.com/watch?v=CQc1c3Xt3qM"", ""https://www.youtube.com/watch?v=H3wUhwhPXO8""]"
eCOZoyMNLfQ,"[""https://www.youtube.com/watch?v=NH-GAwLAO30""]"
EfcmMjUVUa0,"[""https://www.youtube.com/watch?v=qrtt7mgwCTw"", ""https://www.youtube.com/watch?v=TyUWs246kAo""]"
XiDxEBwykL8,"[""https://www.youtube.com/watch?v=hm1na9R2uYA"", ""https://www.youtube.com/watch?v=yuugh5dWYUE""]"
KqNmnv7ScbQ,"[""https://www.youtube.com/watch?v=ye5ibes_X7Q""]"
-3MYi_CXQJk,"[""https://www.youtube.com/watch?v=ksolyw2atr0""]"
xP5ZYf7J-68,"[""https://www.youtube.com/watch?v=AElDFYOAqSs"", ""https://www.youtube.com/watch?v=z5om94d1WD8""]"
f8kdQi1Cecw,"[""https://www.youtube.com/watch?v=wDgQdr8ZkTw"", ""https://www.youtube.com/watch?v=hUun6dtuN64"", ""https://www.youtube.com/watch?v=UqoXM7BX3QI""]"
mXvhFzQI4ME,"[""https://www.youtube.com/watch?v=6gO6GzdMIX8""]"
kf63zinFgmo,"[""https://www.youtube.com/watch?v=Nwa4I7UrvJM""]"
PnTzwI1kClE,"[""https://www.youtube.com/watch?v=PzEH1FWD7N0"", ""https://www.youtube.com/watch?v=0iMell14sVQ""]"
4wXq8Oe1ueo,"[""https://www.youtube.com/watch?v=GALGK-TYt8c"", ""https://www.youtube.com/watch?v=PfpKGJ6nYdg""]"
-xx4dHk8I7M,"[""https://www.youtube.com/watch?v=fGcF0QvvZbk"", ""https://www.youtube.com/watch?v=ynh-0brhmXM""]"
8_tAhPUnfyo,"[""https://www.youtube.com/watch?v=hOxlXtDU19k""]"
rVhGa2bkfQE,"[""https://www.youtube.com/watch?v=_a_eaLBNFU4"", ""https://www.youtube.com/watch?v=Ryj3wspn2E0"", ""https://www.youtube.com/watch?v=Ou9jiN7tsd4""]"
VTlHvjYw-uU,"[""https://www.youtube.com/watch?v=5LLvgHBKwUI"", ""https://www.youtube.com/watch?v=AG0mjewk5Ms"", ""https://www.youtube.com/watch?v=UfiPw8hQ9aM""]"
SK1UnA6ZYFc,"[""https://www.youtube.com/watch?v=7FOV-5uWCmk"", ""https://www.youtube.com/watch?v=fm1cpfe5VmI""]"
rAbNWEc1yCc,"[""https://www.youtube.com/watch?v=DcERQHg3iy8"", ""https://www.youtube.com/watch?v=yFL_6rAoEi0""]"
QUWwTjzETlg,"[""https://www.youtube.com/watch?v=HA3Ks8NLS-Y""]"
kmgcWAhrfVM,"[""https://www.youtube.com/watch?v=q4ueG0Okn-o""]"
BYF71E9bH6c,"[""https://www.youtube.com/watch?v=a9GGie3LHCo"", ""https://www.youtube.com/watch?v=IL9xr7Uxmu4""]"
jKC6JKUtQ-Y,"[""https://www.youtube.com/watch?v=TuHinkCGlKs"", ""https://www.youtube.com/watch?v=d8_0NxMVa0s""]"
BMfzzjB9zVE,"[""https://www.youtube.com/watch?v=agli5eNkHnY"", ""https://youtube.com/watch?v=h9ozyUrBcvk""]"
IcT_MqoiVNA,"[""https://www.youtube.com/watch?v=dRY_FK8biNo""]"
rrM40jXbLxg,"[""https://www.youtube.com/watch?v=1Y3LERI4ySw"", ""https://www.youtube.com/watch?v=wgf_ujr5XrE""]"
YAeuXQLVn6s,"[""https://www.youtube.com/watch?v=tsJXoqvmgzM"", ""https://www.youtube.com/watch?v=gL5iea2vQHY""]"
